Size(A+C),Size(A),Size(C),A,C,Supp(A->C),Conf(A->C),Lift(A->C)
3,2,1,"('yogurt', 'whole milk')","('sausage',)",0.00147,0.1317,2.1829
3,2,1,"('whole milk', 'sausage')","('yogurt',)",0.00147,0.1642,1.9118
3,2,1,"('yogurt', 'sausage')","('whole milk',)",0.00147,0.2558,1.6199
3,2,1,"('sausage', 'rolls/buns')","('whole milk',)",0.001136,0.2125,1.3456
3,2,1,"('whole milk', 'sausage')","('soda',)",0.001069,0.1194,1.2296
3,2,1,"('whole milk', 'sausage')","('rolls/buns',)",0.001136,0.1269,1.1533
3,2,1,"('soda', 'rolls/buns')","('other vegetables',)",0.001136,0.1405,1.1507
3,2,1,"('sausage', 'soda')","('whole milk',)",0.001069,0.1798,1.1384
3,2,1,"('rolls/buns', 'other vegetables')","('soda',)",0.001136,0.1076,1.108
3,2,1,"('yogurt', 'whole milk')","('rolls/buns',)",0.001337,0.1198,1.0887
3,2,1,"('yogurt', 'rolls/buns')","('whole milk',)",0.001337,0.1709,1.0824
3,2,1,"('soda', 'other vegetables')","('rolls/buns',)",0.001136,0.1172,1.0658
2,1,1,"('flour',)","('tropical fruit',)",0.001069,0.1096,1.6171
2,1,1,"('processed cheese',)","('root vegetables',)",0.001069,0.1053,1.513
2,1,1,"('soft cheese',)","('yogurt',)",0.00127,0.1267,1.475
2,1,1,"('detergent',)","('yogurt',)",0.001069,0.124,1.4443
2,1,1,"('chewing gum',)","('yogurt',)",0.001403,0.1167,1.3585
2,1,1,"('processed cheese',)","('rolls/buns',)",0.00147,0.1447,1.3157
2,1,1,"('packaged fruit/vegetables',)","('rolls/buns',)",0.001203,0.1417,1.2884
2,1,1,"('seasonal products',)","('rolls/buns',)",0.001002,0.1415,1.2864
2,1,1,"('herbs',)","('yogurt',)",0.001136,0.1076,1.2529
2,1,1,"('oil',)","('soda',)",0.001804,0.1211,1.2468
2,1,1,"('beverages',)","('soda',)",0.001871,0.1129,1.1627
2,1,1,"('red/blush wine',)","('rolls/buns',)",0.001337,0.1274,1.158
2,1,1,"('frankfurter',)","('other vegetables',)",0.005146,0.1363,1.1161
2,1,1,"('semi-finished bread',)","('whole milk',)",0.001671,0.1761,1.1148
2,1,1,"('chocolate',)","('rolls/buns',)",0.002807,0.119,1.0816
2,1,1,"('detergent',)","('rolls/buns',)",0.001002,0.1163,1.057
2,1,1,"('pot plants',)","('other vegetables',)",0.001002,0.1282,1.05
2,1,1,"('frozen meals',)","('other vegetables',)",0.002139,0.1275,1.0441
2,1,1,"('ice cream',)","('rolls/buns',)",0.001738,0.1145,1.0412
2,1,1,"('meat',)","('other vegetables',)",0.002139,0.127,1.04
2,1,1,"('hard cheese',)","('rolls/buns',)",0.001671,0.1136,1.033
2,1,1,"('detergent',)","('whole milk',)",0.001403,0.1628,1.0308
2,1,1,"('ham',)","('whole milk',)",0.00274,0.1602,1.0141
2,1,1,"('berries',)","('other vegetables',)",0.002673,0.1227,1.0049
2,1,1,"('fruit/vegetable juice',)","('rolls/buns',)",0.003743,0.11,1.0001
